Run_ID,AssayType,DIV,Well,NeuronType,Time,Chip_ID,Mean_FiringRate,Mean_SpikeAmplitude,Active_area,Mean_ISI,Std_ISI,Mean_ISI_CV,Mean_Fano,CHIP_WELL,is_outlier,expected_y,resid_expected,is_bad_residual,to_exclude
32,Sparse7x,8,1,MxHEMI,5/23/24 19:25,M08018,0.958109052,72.05338738,68.68181818,5.14812692,6.077368252,2.069785358,5.625585617,M08018_1,False,55.16414141333333,13.51767676666666,False,False
32,Sparse7x,8,2,MxWT,5/23/24 19:25,M08018,0.997854245,63.66386468,48.54545455,7.010275498,7.707945985,1.719845727,4.033316604,M08018_2,False,50.41919191833333,-1.8737373683333303,False,False
32,Sparse7x,8,3,FxHET,5/23/24 19:25,M08018,1.00995603,64.38917929,60.3030303,5.98615441,6.462899569,1.955820368,4.770028925,M08018_3,False,54.82070707166666,5.4823232283333425,False,False
32,Sparse7x,8,4,MxHEMI,5/23/24 19:25,M08018,0.82656972,71.511302,55.74242424,6.197665182,7.406413199,2.302921327,5.852092891,M08018_4,False,55.16414141333333,0.5782828266666655,False,False
32,Sparse7x,8,5,MxWT,5/23/24 19:25,M08018,0.701159508,72.38302814,50.09090909,7.803111528,9.555888587,2.054454056,4.651733623,M08018_5,False,50.41919191833333,-0.3282828283333359,False,False
32,Sparse7x,8,6,FxHET,5/23/24 19:25,M08018,0.918791708,70.31064908,60.54545455,6.056784956,7.331762891,2.245610509,5.611070404,M08018_6,False,54.82070707166666,5.724747478333342,False,False
22,Sparse7x,8,1,MxHEMI,5/23/24 10:03,M07039,0.98529708,66.41315533,60.18181818,6.33451801,6.731630558,1.944820483,5.860174376,M07039_1,False,55.16414141333333,5.017676766666668,False,False
22,Sparse7x,8,2,MxWT,5/23/24 10:03,M07039,0.892114506,63.82544488,43.13636364,8.487181698,9.035867419,1.802574189,3.701507789,M07039_2,False,50.41919191833333,-7.282828278333334,False,False
22,Sparse7x,8,3,FxHET,5/23/24 10:03,M07039,0.879965702,67.13910563,50.8030303,7.437614905,8.154290631,2.018896976,4.987801976,M07039_3,True,54.82070707166666,-4.0176767716666575,False,True
22,Sparse7x,8,4,MxHEMI,5/23/24 10:03,M07039,0.737810394,68.04520942,54.71212121,6.011716713,7.369048933,2.254818785,6.046797047,M07039_4,False,55.16414141333333,-0.45202020333333337,False,False
22,Sparse7x,8,5,MxWT,5/23/24 10:03,M07039,0.750820856,62.80632585,38.45454545,8.311406363,8.707357947,1.803123494,3.722733508,M07039_5,False,50.41919191833333,-11.964646468333335,False,False
22,Sparse7x,8,6,FxHET,5/23/24 10:03,M07039,0.790198317,70.81743601,56.40909091,6.636955185,8.142264025,1.952354342,4.981286279,M07039_6,True,54.82070707166666,1.5883838383333426,False,True
42,Sparse7x,13,1,MxHEMI,5/28/24 13:53,M07039,2.859076689,74.33247923,87.98484848,2.503621411,2.828319814,2.116932798,7.36143269,M07039_1,False,75.805555555,12.179292924999999,False,False
42,Sparse7x,13,2,MxWT,5/28/24 13:53,M07039,1.882146845,67.19403436,72.36363636,5.139163219,4.249502332,1.558018632,3.943336964,M07039_2,False,74.96969697,-2.60606061,False,False
42,Sparse7x,13,3,FxHET,5/28/24 13:53,M07039,2.039190379,74.15075249,74.54545455,3.968364042,3.80270936,1.912984116,5.613509719,M07039_3,False,78.30303030333333,-3.7575757533333274,False,False
42,Sparse7x,13,4,MxHEMI,5/28/24 13:53,M07039,2.505521797,71.67419224,83.53030303,3.079421945,2.943779201,1.85339097,5.566469855,M07039_4,False,75.805555555,7.724747475000001,False,False
42,Sparse7x,13,5,MxWT,5/28/24 13:53,M07039,1.030534536,60.2693166,52.06060606,8.406761407,8.508173603,1.674342967,3.245466661,M07039_5,True,74.96969697,-22.909090910000003,False,True
42,Sparse7x,13,6,FxHET,5/28/24 13:53,M07039,1.584517865,76.51984628,84.95454545,3.329915301,3.464343071,1.724072606,4.854188284,M07039_6,False,78.30303030333333,6.651515146666668,False,False
40,Sparse7x,13,1,MxWT,5/28/24 13:25,M07427,1.61516344,86.99929054,83.72727273,3.746782022,3.853253095,1.760233772,4.751899293,M07427_1,False,74.96969697,8.757575759999995,False,False
40,Sparse7x,13,2,MxWT,5/28/24 13:25,M07427,2.259267433,91.68358893,90.96969697,2.440205689,2.406355706,1.690945895,4.725499139,M07427_2,False,74.96969697,16.0,False,False
